30 65
1 2 10
1 3 10
2 4 10
2 9 15
3 4 10
3 5 10
4 9 15
4 6 10
5 6 10
5 7 10
6 10 15
6 8 10
7 8 10
8 10 15
9 10 20
11 1 4
11 2 4
11 3 4
11 4 4
13 3 4
13 4 4
13 5 4
13 6 4
15 5 4
15 6 4
15 7 4
15 8 4
12 2 7
12 4 7
12 9 7
14 4 7
14 6 7
14 9 10
14 10 10
16 6 7
16 8 7
16 10 7
17 1 2
18 1 2
19 1 2
20 1 2
21 1 2
22 1 2
23 1 2
24 1 2
25 1 2
26 1 2
27 1 2
28 1 2
29 1 2
30 1 2
17 10 2
18 10 2
19 10 2
20 10 2
21 10 2
22 10 2
23 10 2
24 10 2
25 10 2
26 10 2
27 10 2
28 10 2
29 10 2
30 10 2
10
1 2 3 4 5 6 7 8 9 10
